timestamp,ambient_temp,indoor_temp,setpoint_temp,suction_pressure,discharge_pressure,compressor_speed,fan_speed,power_consumption,superheat,subcooling,cop,evap_temp,cond_temp,fault_mode,compressor_on
2026-05-30T21:04:56.105275,31.96,24.02,24.0,8.39,28.15,3009.9,1205.3,4.58,6.52,5.24,3.242,12.18,44.89,none,True
2026-05-30T21:04:56.105275,32.49,24.01,24.0,8.43,27.83,2967.4,1220.6,4.428,5.47,4.72,3.268,12.64,44.37,none,True
2026-05-30T21:04:56.105275,31.99,24.25,24.0,8.51,28.31,2995.2,1200.6,4.535,6.57,5.54,3.143,11.63,45.42,none,True
2026-05-30T21:04:56.106273,31.78,24.14,24.0,8.56,28.31,3012.7,1192.0,4.62,6.04,4.88,3.188,12.13,44.78,none,True
2026-05-30T21:04:56.106273,32.14,24.08,24.0,8.55,28.08,3022.9,1207.1,4.474,6.64,4.81,3.055,11.56,45.01,none,True
2026-05-30T21:04:56.106273,32.5,24.24,24.0,8.56,28.63,3068.7,1217.3,4.545,5.9,5.22,2.98,11.51,44.69,none,True
2026-05-30T21:04:56.106273,32.47,24.02,24.0,8.62,28.32,3060.7,1218.8,4.676,6.33,5.39,3.18,12.2,45.36,none,True
2026-05-30T21:04:56.107272,32.0,24.01,24.0,8.38,28.13,3052.3,1223.3,4.623,6.55,5.27,3.212,12.14,45.14,none,True
2026-05-30T21:04:56.107272,32.37,23.97,24.0,8.33,28.25,3047.4,1193.9,4.518,6.19,4.91,3.345,12.29,45.43,none,True
2026-05-30T21:04:56.107272,31.79,24.21,24.0,8.57,28.01,3066.8,1201.1,4.655,6.14,4.91,3.31,11.9,44.73,none,True
2026-05-30T21:04:56.107272,32.38,24.07,24.0,8.59,28.72,3051.8,1204.7,4.638,5.83,4.63,3.253,11.91,44.92,none,True
2026-05-30T21:04:56.107272,31.75,24.48,24.0,8.67,28.04,3062.2,1216.0,4.708,6.19,4.71,3.261,11.86,44.36,none,True
2026-05-30T21:04:56.108272,32.77,24.24,24.0,8.47,28.46,3048.3,1220.0,4.641,5.59,5.5,3.177,11.89,45.3,none,True
2026-05-30T21:04:56.108272,32.45,24.29,24.0,8.54,28.44,3089.3,1220.0,4.805,6.09,4.89,3.41,12.43,44.34,none,True
2026-05-30T21:04:56.108272,32.66,24.43,24.0,8.45,28.2,3082.2,1229.9,4.756,6.07,4.72,3.243,12.54,45.03,none,True
2026-05-30T21:04:56.109271,32.74,24.22,24.0,8.65,28.5,3101.3,1213.2,4.71,5.73,4.63,3.403,11.48,45.44,none,True
2026-05-30T21:04:56.109271,32.61,24.41,24.0,8.7,28.59,3104.3,1221.0,4.854,5.51,5.43,3.075,11.77,46.16,none,True
2026-05-30T21:04:56.109271,32.83,24.57,24.0,8.7,28.71,3086.9,1227.8,4.841,6.23,5.23,3.225,12.02,44.75,none,True
2026-05-30T21:04:56.109271,32.95,24.66,24.0,8.63,28.62,3132.4,1227.4,5.062,5.62,4.99,3.473,11.62,44.92,none,True
2026-05-30T21:04:56.109271,32.57,24.54,24.0,8.6,28.74,3113.0,1215.3,4.688,6.09,5.02,3.381,11.96,45.16,none,True
2026-05-30T21:04:56.109271,32.54,24.79,24.0,8.49,28.73,3142.9,1239.3,4.949,5.86,4.6,3.357,11.86,44.72,none,True
2026-05-30T21:04:56.109271,32.43,24.5,24.0,8.58,28.67,3111.4,1243.4,5.023,5.8,4.62,3.192,12.12,44.86,none,True
2026-05-30T21:04:56.110272,32.7,24.53,24.0,8.69,28.35,3154.6,1241.0,4.949,6.18,5.01,3.334,11.76,45.4,none,True
2026-05-30T21:04:56.110272,32.6,24.52,24.0,8.75,29.38,3161.5,1222.6,5.06,5.71,4.86,3.191,12.33,45.49,none,True
2026-05-30T21:04:56.110272,32.57,24.34,24.0,8.46,28.94,3160.4,1234.4,5.126,6.04,5.02,3.47,11.99,43.66,none,True
2026-05-30T21:04:56.110272,33.04,24.28,24.0,8.67,28.76,3157.4,1229.9,4.914,6.07,4.63,3.204,12.09,45.56,none,True
2026-05-30T21:04:56.111272,33.11,24.49,24.0,8.83,28.71,3168.9,1230.4,5.043,5.49,5.18,3.508,11.91,44.5,none,True
2026-05-30T21:04:56.111272,32.78,24.67,24.0,8.74,28.88,3133.2,1243.8,4.987,5.86,4.89,3.137,11.62,45.31,none,True
2026-05-30T21:04:56.111272,33.32,24.98,24.0,8.67,28.73,3190.8,1241.8,5.025,6.27,4.94,3.319,12.05,45.41,none,True
2026-05-30T21:04:56.111272,32.65,24.8,24.0,8.71,28.88,3167.9,1239.3,5.153,5.83,4.53,3.272,12.07,45.1,none,True
2026-05-30T21:04:56.111776,32.68,25.06,24.0,8.91,29.07,3196.5,1255.4,5.168,5.46,4.88,3.368,12.23,45.27,none,True
2026-05-30T21:04:56.111776,32.97,24.73,24.0,8.81,28.84,3216.0,1250.0,5.162,6.05,5.15,3.402,12.17,44.85,none,True
2026-05-30T21:04:56.111776,33.16,24.55,24.0,8.81,28.97,3186.7,1227.3,5.095,5.12,4.57,3.534,11.7,44.92,none,True
2026-05-30T21:04:56.111776,33.44,24.58,24.0,8.96,28.62,3207.6,1246.8,5.146,6.62,4.8,3.501,11.69,45.57,none,True
2026-05-30T21:04:56.111776,33.4,24.97,24.0,8.64,28.93,3210.0,1251.2,5.105,6.29,4.95,3.368,11.47,44.84,none,True
2026-05-30T21:04:56.112781,32.83,24.65,24.0,8.84,29.42,3258.0,1255.5,5.188,5.31,4.4,3.417,11.37,45.44,none,True
2026-05-30T21:04:56.112781,33.24,24.32,24.0,8.64,29.28,3230.6,1242.3,4.942,5.41,5.16,3.289,11.86,45.6,none,True
2026-05-30T21:04:56.112781,33.48,24.69,24.0,8.8,29.53,3241.1,1266.3,5.141,5.89,4.74,3.365,12.27,45.29,none,True
2026-05-30T21:04:56.112781,33.34,24.98,24.0,8.65,29.27,3215.4,1250.9,5.16,6.3,5.03,3.328,11.39,45.24,none,True
2026-05-30T21:04:56.112781,33.33,24.76,24.0,8.74,29.28,3258.3,1260.8,5.339,5.78,5.64,3.437,12.72,45.02,none,True
2026-05-30T21:04:56.112781,33.16,25.12,24.0,8.89,28.95,3231.4,1276.7,5.158,5.64,5.32,3.376,12.09,45.6,none,True
2026-05-30T21:04:56.112781,33.17,24.93,24.0,8.91,29.18,3261.9,1235.8,5.087,5.95,4.98,3.236,11.82,44.01,none,True
2026-05-30T21:04:56.113781,33.26,25.04,24.0,8.79,29.2,3292.8,1267.8,5.301,4.96,4.95,3.372,12.02,45.19,none,True
2026-05-30T21:04:56.114781,33.32,24.78,24.0,8.83,29.1,3230.2,1262.8,5.305,5.83,5.52,3.448,12.11,44.3,none,True
2026-05-30T21:04:56.114781,33.94,24.8,24.0,8.9,29.31,3263.2,1252.5,5.398,6.5,5.44,3.267,12.17,45.04,none,True
